city,city_ascii,lat,lng,country,population
Kudamatsu,Kudamatsu,34.015,131.8703,Japan,56634
Nōgata,Nogata,33.7439,130.7297,Japan,55937
Toki,Toki,35.3525,137.1833,Japan,56133
Narutochō-mitsuishi,Narutocho-mitsuishi,34.1667,134.6167,Japan,56007
Hidaka,Hidaka,35.9078,139.3392,Japan,55241
Annaka,Annaka,36.3264,138.8872,Japan,55578
Chino,Chino,35.9956,138.1589,Japan,55531
Sakurai,Sakurai,34.5189,135.8519,Japan,55005
Funato,Funato,34.2564,135.3111,Japan,53566
Hanyū,Hanyu,36.1728,139.5486,Japan,53870
Mutsu,Mutsu,41.2931,141.1831,Japan,54721
Minami-Sōma,Minami-Soma,37.6422,140.9572,Japan,53643
Imarichō-kō,Imaricho-ko,33.2647,129.8808,Japan,53483
Tomiya,Tomiya,38.4,140.8953,Japan,51889
Miyako,Miyako,39.6414,141.9572,Japan,52471
Bandō,Bando,36.0483,139.8889,Japan,51903
Satte,Satte,36.0781,139.7258,Japan,50767
Arao,Arao,32.9867,130.4333,Japan,51325
Sakaidechō,Sakaidecho,34.3164,133.8606,Japan,51196
Yūki,Yuki,36.3053,139.8775,Japan,50817
Tsukubamirai,Tsukubamirai,35.9631,140.0372,Japan,50870
Nichinan,Nichinan,31.6019,131.3789,Japan,51106
Miyoshi,Miyoshi,34.8058,132.8517,Japan,51049
Yasu,Yasu,35.0675,136.0258,Japan,50432
Noshiromachi,Noshiromachi,40.2122,140.0267,Japan,50842
Tōkamachi,Tokamachi,37.1275,138.7557,Japan,50754
Hikari,Hikari,33.9617,131.9422,Japan,49686
Tomisato,Tomisato,35.7267,140.3431,Japan,49868
Suzaka,Suzaka,36.6511,138.3069,Japan,49734
Yamaga,Yamaga,33.0167,130.6914,Japan,49783
Nomimachi,Nomimachi,36.4375,136.4961,Japan,49200
Sanmu,Sanmu,35.6028,140.4136,Japan,49300
Omitama,Omitama,36.2394,140.3525,Japan,49200
Shimotsuchō-kominami,Shimotsucho-kominami,34.1556,135.2092,Japan,48846
Suwa,Suwa,36.0392,138.1142,Japan,48695
Hitachi-ota,Hitachi-ota,36.5383,140.5311,Japan,48758
Ena,Ena,35.4494,137.4128,Japan,48777
Gosen,Gosen,37.75,139.1833,Japan,48360
Tonami,Tonami,36.65,136.9667,Japan,48116
Ami,Ami,36.0308,140.215,Japan,47755
Ishigaki,Ishigaki,24.3333,124.15,Japan,48132
Takeochō-takeo,Takeocho-takeo,33.1939,130.0192,Japan,48011
Higashine,Higashine,38.4314,140.3911,Japan,47920
Kikugawa,Kikugawa,34.7578,138.0842,Japan,47547
Tomioka,Tomioka,36.26,138.89,Japan,47648
Noboribetsu,Noboribetsu,42.4128,141.1067,Japan,47795
Kamiyoshida,Kamiyoshida,35.4875,138.8081,Japan,47211
Tamagawa,Tamagawa,33.6317,130.7997,Japan,46611
Kasaoka,Kasaoka,34.5072,133.5072,Japan,47097
Nakai,Nakai,33.5756,133.6414,Japan,46951
